,Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
94,2021,Kadarius Toney,Florida,WR,71.63,193,9.25,31.25,,4.38,9,39.5,136,4.23,6.88,
95,2021,Austin Trammell,Rice (TX),WR,70.13,181,9.5,28.125,,4.62,21,40,124,4.11,6.75,
96,2021,T.J. Vasher,Texas Tech,WR,77.63,203,10.25,35.625,,,,37,121,,,
97,2021,Tyler Vaughns,Southern California,WR,74,184,9.5,32.875,,4.69,7,31.5,120,4.4,7.15,
98,2021,Jaylen Waddle,Alabama,WR,69.5,180,9.125,30.375,,,,,122,,,
99,2021,Tylan Wallace,Oklahoma State,WR,71.38,194,9.75,30.375,,4.5,11,33,112,4.25,6.97,
100,2021,Austin Watkins,Alabama-Birmingham,WR,73.5,209,9.625,31.75,,4.56,18,,133,,,
101,2021,Marlon Williams,Central Florida,WR,71.25,209,8.875,31,,4.66,14,33.5,119,4.57,,
102,2021,Seth Williams,Auburn,WR,75,211,9.875,33.5,,4.49,12,37,124,4.43,7.2,
103,2020,Brandon Aiyuk,Arizona State,WR,71.63,205,9.75,33.5,,4.5,11,40,128,,,
104,2020,Omar Bayless,Arkansas State,WR,72.75,212,9,31.88,,4.62,11,36,123,4.5,7.35,
105,2020,Lawrence Cager,Georgia,WR,76.75,220,8.88,33.38,,,,,,,,
106,2020,Marquez Callaway,Tennessee,WR,73.25,205,9.38,32.38,,4.55,,38,126,,,
107,2020,Quintez Cephus,Wisconsin,WR,72.88,202,8.75,32.13,,4.73,23,38.5,124,4.33,7.2,
108,2020,Chase Claypool,Notre Dame,WR,76.25,238,9.88,32.5,,4.42,19,40.5,126,,,
109,2020,Tyrie Cleveland,Florida,WR,74,205,9.13,32.88,,4.46,13,39.5,126,,,
110,2020,Isaiah Coulter,Rhode Island,WR,73.88,198,9,31.75,,4.45,,36,121,4.62,7.28,
111,2020,Gabriel Davis,Central Florida,WR,74,216,9.25,32.25,,4.54,14,35,124,4.59,7.08,
112,2020,Quartney Davis,Texas A&M,WR,73.25,201,9.5,31.38,,4.54,,35.5,,,,
113,2020,Devin Duvernay,Texas,WR,70.5,200,9.5,30.63,,4.39,,35.5,123,4.2,7.13,
114,2020,Bryan Edwards,South Carolina,WR,74.75,212,9.5,32.25,,,,,,,,
115,2020,Chris Finke,Notre Dame,WR,70,184,9,29,,4.57,7,40,,,,
116,2020,Aaron Fuller,Washington,WR,70.75,188,8.88,29.75,,4.59,,34,118,,7.14,
117,2020,Antonio Gandy-Golden,Liberty (VA),WR,76,223,9.63,31.75,,4.6,22,36,127,4.55,7.33,
118,2020,Stephen Guidry,Mississippi State,WR,76,200,9.13,32.75,,4.47,,34,125,4.46,7.31,
119,2020,K.J. Hamler,Penn State,WR,68.63,178,9.38,30.75,,,15,,,,,
120,2020,Tee Higgins,Clemson,WR,75.63,216,9.25,34.13,,4.59,,31,10,4.53,,
121,2020,John Hightower,Boise State,WR,73.5,189,9.75,31.5,,4.43,,38.5,122,4.21,7.07,
122,2020,K.J. Hill,Ohio State,WR,71.88,196,9.25,29.13,,4.6,17,32.5,114,,,
123,2020,Isaiah Hodgins,Oregon State,WR,75.63,210,9.88,33.13,,4.61,9,36.5,124,4.12,7.01,
124,2020,Trishton Jackson,Syracuse,WR,72.75,197,9.75,32.38,,4.5,,36,117,,,
125,2020,Justin Jefferson,Louisiana State,WR,73.25,202,9.13,33,,4.43,,37.5,126,,,
126,2020,Van Jefferson,Florida,WR,73.5,200,9.13,32.75,,,,,,,,
127,2020,Jauan Jennings,Tennessee,WR,75.13,215,9,31.63,,4.72,,29,119,,,
128,2020,Jerry Jeudy,Alabama,WR,73,193,9.5,32.13,,4.45,,35,120,4.53,,
129,2020,Collin Johnson,Texas,WR,77.63,222,9,31.75,,,17,,,,,
130,2020,Juwan Johnson,Oregon,WR,76,230,10.5,34.25,,4.58,14,33,124,4.37,6.94,
131,2020,Tyler Johnson,Minnesota,WR,73.38,206,9,30.88,,,,,,,,
132,2020,Tony Jones,Notre Dame,WR,71,224,9.5,30.63,,4.68,13,32.5,119,4.21,7.18,
133,2020,Cedarian Lamb,Oklahoma,WR,73.63,198,9.25,32.25,,4.5,11,34.5,124,,,
134,2020,Kalija Lipscomb,Vanderbilt,WR,71.88,207,9.38,32.88,,4.57,16,32,127,,,
135,2020,Austin Mack,Ohio State,WR,73.5,208,10,33.63,,4.59,,31.5,117,4.42,,
136,2020,Denzel Mims,Baylor,WR,74.88,207,9.38,33.88,,4.38,16,38.5,131,4.43,6.66,
137,2020,Darnell Mooney,Tulane (LA),WR,70,176,9.63,30.88,,4.38,9,37,124,,,
138,2020,K.J. Osborn,Miami (FL),WR,72,206,9.13,31.25,,4.48,18,37.5,123,4.35,7,
139,2020,Aaron Parker,Rhode Island,WR,73.63,209,9.13,31.13,,4.57,12,26.5,112,4.23,6.94,
140,2020,Dezmon Patmon,Washington State,WR,76,228,10.25,32.75,,4.48,15,36,132,4.38,7.28,
141,2020,Donovan Peoples-Jones,Michigan,WR,73.63,212,10.13,33.5,,4.48,,44.5,139,,,
142,2020,Michael Pittman,Southern California,WR,76,223,9.25,32.5,,4.52,13,36.5,121,4.14,6.96,
143,2020,James Proche,Southern Methodist (TX),WR,70.63,201,9.63,29.75,,,20,34.5,,4.4,7.27,
144,2020,Jalen Reagor,Texas Christian,WR,70.63,206,9.5,31.38,,4.47,17,42,138,4.46,7.31,
145,2020,Kendrick Rogers,Texas A&M,WR,76,204,9.13,33.13,,4.51,17,35.5,124,4.48,7.13,
146,2020,Henry Ruggs,Alabama,WR,71,188,10.13,30.5,,4.27,,42,131,,,
147,2020,Laviska Shenault,Colorado,WR,72.63,227,9,31.88,,4.58,17,,,,,
148,2020,Darrell Stewart,Michigan State,WR,74,216,9.63,32,,,15,35,117,,,
149,2020,Freddie Swain,Florida,WR,72,199,9,30.63,,4.46,16,36.5,124,4.26,7.05,
150,2020,Jeff Thomas,Miami (FL),WR,68.88,170,8.38,30.38,,4.45,,36.5,125,,,
151,2020,Binjimen Victor,Ohio State,WR,75.75,198,9.63,34.13,,4.6,9,35,128,,7.1,
152,2020,Quez Watkins,Southern Mississippi,WR,72.13,185,9,32.88,,4.35,,36.5,125,4.36,7.28,
153,2020,Cody White,Michigan State,WR,75,215,10,32.5,,4.66,,35.5,120,4.52,7.19,
154,2019,J.J. Arcega-Whiteside,Stanford,WR,74,225,9.5,33.25,,4.5,,34,119,4.41,7.23,
155,2019,Jaelan Austin,Texas Christian,WR,71.75,194,10,31.75,,,4,,,,,
156,2019,Alex Bachman,Wake Forest,WR,71.38,195,9.5,30.875,,4.47,17,33,127,4.28,6.71,
157,2019,Miles Boykin,Notre Dame,WR,75.75,220,9.88,33.5,,4.42,12,43.5,140,4.07,6.77,
158,2019,Tyre Brady,Marshall (WV),WR,74.88,211,9.75,33.63,,4.76,12,32,117,4.25,7.24,
159,2019,A.J. Brown,Mississippi,WR,72.5,226,9.75,32.88,,4.49,19,36.5,120,4.25,7,
160,2019,Marquise Brown,Oklahoma,WR,69.38,166,9,30.5,,,,,,,,
161,2019,Shun Brown,Arizona,WR,68.25,185,9,29.75,,4.72,,,114,4.3,7.06,
162,2019,Emmanuel Butler,Northern Arizona,WR,75,217,10.13,33,,4.75,11,36,115,4.22,7.41,
163,2019,Hakeem Butler,Iowa State,WR,77.63,227,10.75,35.25,,4.48,18,36,128,4.16,7.09,
164,2019,Parris Campbell,Ohio State,WR,71.88,205,9.5,32.25,,4.31,11,40,135,4.03,,
165,2019,Juston Christian,Marist,WR,71.63,196,9.5,31.5,,4.49,16,36,126,4.5,7.32,
166,2019,Jamal Custis,Syracuse,WR,76.13,214,10.88,33.88,,4.5,,34.5,124,4.46,7.23,
167,2019,Felton Davis,Michigan State,WR,75.5,211,10.25,32.75,,,21,,,,,
168,2019,Ryan Davis,Auburn,WR,69.88,189,9.25,30.88,,4.63,12,35,124,4.23,7.09,
169,2019,Jakari Dillard,Central Arkansas,WR,75.25,210,,,,,,,,,,
170,2019,Johnnie Dixon,Ohio State,WR,70.38,201,9.63,30.25,,4.41,16,37.5,120,4.43,7.38,
171,2019,Greg Dortch,Wake Forest,WR,67.13,173,9.25,29.25,,4.59,,33,109,4.08,6.89,
172,2019,Keelan Doss,UC-Davis,WR,74.75,211,9.5,31.75,,4.56,8,36,124,,,
173,2019,Ashton Dulin,Malone (OH),WR,73.38,215,9,33.38,,4.43,13,38,121,4.22,7,
174,2019,Jovon Durante,Florida Atlantic,WR,71.13,160,8.75,31.13,,4.55,,31.5,120,4.31,7,
175,2019,Tony Ellison,Arizona,WR,71,181,8.75,29.75,,4.68,2,30,123,4.2,6.77,
176,2019,Jazz Ferguson,Northwestern State (LA),WR,76.75,227,9.25,34.25,,4.45,8,37,123,4.59,7.25,
177,2019,Travis Fulgham,Old Dominion (VA),WR,74.38,215,9.5,33.75,,4.58,15,36.5,126,4.22,6.84,
178,2019,Terry Godwin,Georgia,WR,71.5,184,9.38,30,,4.55,,36.5,117,4.18,6.96,
179,2019,Marcus Green,Louisiana-Monroe,WR,67.88,190,9,30.75,,4.41,14,37,124,4.41,6.88,
180,2019,Jalen Greene,Utah State,WR,73.88,205,9.75,31.25,,4.67,16,32,122,4.46,7.09,
181,2019,Jalen Guyton,North Texas,WR,72.88,212,9.25,32,,4.39,13,37.5,125,4.09,6.9,
182,2019,Emanuel Hall,Missouri,WR,73.88,201,9.75,33.25,,4.39,15,43.5,141,,,
183,2019,Mecole Hardman,Georgia,WR,70.25,187,9,30.25,,4.33,17,36.5,119,4.25,6.75,
184,2019,Kelvin Harmon,North Carolina State,WR,74.13,221,9.5,32.5,,4.6,18,32.5,117,4.32,7.15,
185,2019,Treon Harris,Tennessee State,WR,71.13,196,8.63,29.875,,4.66,,29.5,117,4.55,7.28,
186,2019,N'Keal Harry,Arizona State,WR,74.88,228,9.5,33,,4.53,27,38.5,122,4.28,7.05,
187,2019,Penny Hart,Georgia State,WR,68,180,9.13,31,,4.63,18,33.5,111,4.75,7.64,
188,2019,Jerrod Heard,Texas,WR,73.13,201,8.88,31.875,,4.55,19,34.5,116,4.44,7.16,
189,2019,Corey Holmes,Morgan State (MD),WR,73.13,183,9.25,32.75,,4.54,12,38.5,133,4.08,7.34,
190,2019,Lil'Jordan Humphrey,Texas,WR,75.63,210,9.5,32.75,,4.75,13,33.5,119,4.29,7.09,
191,2019,Jalen Hurd,Baylor,WR,76.63,226,10.25,32,,4.64,23,35.5,124,4.15,,
192,2019,Trenton Irwin,Stanford,WR,73.5,204,8.88,31.125,,,,,,,,
193,2019,Andy Isabella,Massachusetts,WR,68.75,188,8.38,29.75,,4.31,15,36.5,121,4.15,6.95,
194,2019,Taivon Jacobs,Maryland,WR,69.75,170,8,28.875,,4.64,13,39,123,,,
195,2019,Gary Jennings,West Virginia,WR,73,214,9.63,32.5,,4.42,20,37,127,4.15,7.32,
196,2019,Anthony Johnson,Buffalo,WR,73.88,209,9.38,31.38,,4.55,18,32.5,122,,7.12,
197,2019,Diontae Johnson,Toledo,WR,70.5,183,9,30.75,,4.53,15,33.5,123,4.45,7.09,
198,2019,JonVea Johnson,Toledo,WR,70.75,188,8.88,31.375,,4.4,12,35,128,4.17,6.68,
199,2019,KeeSean Johnson,Frenso State (CA),WR,73.13,201,9.5,32,,4.6,14,30,117,4.23,7.28,
200,2019,Olabisi Johnson,Colorado State,WR,72.5,204,10.38,30.75,,4.51,14,38,124,4.16,6.88,
201,2019,Tyron Johnson,Oklahoma State,WR,72.88,193,9.25,30.875,,4.36,16,30,116,4.4,7.07,
202,2019,Derek Kief,Alabama,WR,76.5,204,8.88,32.625,,4.72,,35,125,4.32,7.07,
203,2019,Damarkus Lodge,Mississippi,WR,73.88,202,9.5,33.125,,4.55,11,33.5,119,4.53,7.06,
204,2019,Terry McLaurin,Ohio State,WR,72.13,208,9.13,31.5,,4.35,18,37.5,125,4.15,7.01,
205,2019,D.K. Metcalf,Mississippi,WR,75.38,228,9.88,34.875,,4.33,27,40.5,134,4.5,7.38,
206,2019,Jakobi Meyers,North Carolina State,WR,73.63,203,9.5,32,,4.63,13,37,118,4.23,7.07,
207,2019,Scott Miller,Bowling Green (OH),WR,69.13,174,8.75,29.25,,4.36,15,34,123,4.02,6.97,
208,2019,Dillon Mitchell,Oregon,WR,73.25,197,9,31.5,,4.46,12,36.5,122,4.29,6.93,
209,2019,Stanley Morgan,Nebraska,WR,72,202,9.88,32.375,,4.53,14,38.5,125,4.13,6.78,
210,2019,Nyqwan Murray,Florida State,WR,70.25,193,9,30.625,,4.63,8,34,113,4.4,7.2,
211,2019,Flynn Nagel,Northwestern,WR,71.25,188,8.38,29.25,,4.73,11,28.5,102,4.21,6.95,
212,2019,Kyrion Parker,Central Missouri,WR,74.75,207,10.25,33.25,,4.56,9,37,126,4.46,7.2,
213,2019,Tristan Payton,Central Florida,WR,71.63,197,8.25,31.5,,4.59,11,32.5,116,4.34,6.9,
214,2019,Michiah Quick,Frenso State (CA),WR,70.5,178,,,,,,,,,,
215,2019,T.J. Rahming,Duke,WR,68.25,163,8.63,29.125,,4.64,,32,114,4.63,6.88,
216,2019,Anthony Ratliff-Williams,North Carolina,WR,72.25,205,9.5,30.75,,4.57,14,35,126,4.38,6.9,
217,2019,Hunter Renfrow,Clemson,WR,70.5,180,7.88,29,,4.59,7,35,116,4.19,6.8,
218,2019,A.J. Richardson,Boise State,WR,71.38,202,9.5,30.125,,4.62,11,33.5,110,4.44,7.12,
219,2019,Riley Ridley,Georgia,WR,73.25,194,10.25,32.625,,4.58,13,30.5,124,4.28,7.22,
220,2019,Deebo Samuel,South Carolina,WR,71.25,214,10,31.375,,4.48,15,39,122,4.14,7.03,
221,2019,David Sills,West Virginia,WR,75.25,211,9,32,,4.57,14,37.5,117,4.28,6.97,
222,2019,Raelon Singleton,Houston,WR,74.88,208,10,32.125,,4.54,,37.5,131,4.5,7.01,
223,2019,Darius Slayton,Auburn,WR,73,190,10,32.75,,4.39,11,40.5,135,4.15,7,
224,2019,Jaylen Smith,Louisville,WR,74.25,213,9.25,32.75,,4.47,14,34.5,122,4.48,7.55,
225,2019,Jeff Smith,Boston College,WR,72,191,9,31.5,,4.36,15,36.5,127,4.06,6.87,
226,2019,TJ Smith,Lenoir-Rhyne,WR,69.5,174,8.75,31,,4.57,16,35.5,123,4.39,7,
227,2019,Dredrick Snelson,Central Florida,WR,71.38,189,8.75,30.625,,4.55,10,30.5,116,4.39,7.27,
228,2019,Jayson Stanley,Georgia,WR,73.63,209,8.5,33,,4.46,12,35,126,4.34,7.14,
229,2019,Brad Stewart,Georgia Tech,WR,72.75,186,8.63,30.25,,4.66,10,35,119,4.2,7.03,
230,2019,DeAndre Thompkins,Penn State,WR,71.25,192,9.75,31.5,,4.34,13,34,126,4.26,7.02,
231,2019,Cody Thompson,Toledo,WR,73.5,205,9.38,31,,4.57,19,38.5,119,4.03,6.87,
232,2019,Trevion Thompson,Clemson,WR,74,197,9.25,32,,4.52,,36,122,4.32,6.82,
233,2019,Kavontae Turpin,Texas Christian,WR,68.88,158,7.75,29.625,,4.5,2,40,129,4.25,6.65,
234,2019,John Ursua,Hawaii,WR,69.13,178,9.25,29.875,,4.56,17,37,120,4.16,6.77,
235,2019,Jamarius Way,South Alabama,WR,75.5,215,10.25,33,,4.63,16,32.5,119,4.66,7.44,
236,2019,Moe Ways,California,WR,75.13,218,9.88,32,,4.63,18,35,117,4.39,7.28,
237,2019,Alex Wesley,Northern Colorado,WR,71.88,190,9,31.25,,4.45,13,38.5,125,4.44,7.4,
238,2019,Antoine Wesley,Texas Tech,WR,76.13,206,9.75,34,,4.68,6,37,117,4.26,7.07,
239,2019,Vic Wharton,California,WR,70.63,193,9.5,29.75,,4.65,11,29,106,4.38,7.26,
240,2019,Reggie White,Monmouth (NJ),WR,74,208,8.5,32.5,,4.52,10,37,120,4.07,6.81,
241,2019,Preston Williams,Colorado State,WR,76.25,211,9.13,33,,4.61,,31.5,116,4.35,7.11,
242,2019,Juwann Winfree,Colorado,WR,73.13,210,9.75,31.5,,4.53,16,33,125,4.25,6.97,
243,2018,Deontez Alexander,Franklin,WR,73.25,196,8.63,32,,4.35,15,37.5,130,4.08,6.91,
244,2018,Marcell Ateman,Oklahoma State,WR,76.5,216,9.88,32.88,,4.62,13,34,121,4.25,7.07,11.94
245,2018,Cameron Batson,Texas Tech,WR,68.25,175,9,28.875,,4.35,14,39,124,4,6.69,
246,2018,Braxton Berrios,Miami (FL),WR,68.63,184,9.25,28,,4.44,11,36,110,4.18,6.72,
247,2018,Saeed Blacknall,Penn State,WR,74,208,9.88,33.375,,4.37,24,32.5,127,4.19,6.77,
248,2018,Deontay Burnett,Southern California,WR,71.63,186,8.63,31.5,,,,,,,,
249,2018,Deon Cain,Clemson,WR,73.88,202,8.75,33,,4.43,11,33.5,115,4.37,6.71,11.78
250,2018,Antonio Callaway,Florida,WR,70.63,200,9.5,31.5,,4.41,7,34,121,4.33,7,
251,2018,Dylan Cantrell,Texas Tech,WR,74.88,226,9.25,31.38,,4.59,18,38.5,130,4.03,6.56,10.85
252,2018,Darren Carrington,Utah,WR,74.25,199,10.38,32.75,,4.78,9,36,120,4.51,6.96,
253,2018,D.J. Chark,Louisiana State,WR,74.88,199,9.25,32.38,,4.34,16,40,129,,,
254,2018,James Clark,Virginia Tech,WR,69,180,8.88,29.875,,4.49,6,36.5,123,4.31,7.32,
